Organ	Organ_ID	FTU Label in Uberon	FTU ID in Uberon	CT Label in CL	CT ID in CL	CT Label in 2D Object
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	splenic white pulp macrophage	CL:0000876	Splenic Marginal Zone Macrophage
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959			T Cells Outer Pals
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959			T Cells Inner Pals
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	smooth muscle cell	CL:0000192	Smooth Muscle Cell
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	splenic endothelial cell	CL:2000053	Splenic Endothelial Cell
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	stromal cell	CL:0000499	Stromal Cell
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	reticular cell of splenic cord	CL:1000489	Reticular Cell Of Splenic Cord
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	CD14-positive, CD16-low monocyte	CL:0001055	CD14 Positive
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	follicular dendritic cell	CL:0000442	Follicular Dendritic Cell
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	plasmablast	CL:0000980	Plasmablast
Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	White Pulp	UBERON:0001959	neutrophil	CL:0000775	Neutrophil
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	double-positive, alpha-beta thymocyte	CL:0000809	Double Positive Alpha Beta Thymocyte
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	thymus subcapsular epithelium	UBERON:0006936	Subcapsular Thymocytes
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	thymic plasmacytoid dendritic cell	CL:0000942	Thymic Plasmacytoid Dendritic Cell
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	blood vessel endothelial cell	CL:0000071	Blood Vessel Endothelial Cell
